Species,Growth_rate_per_h,Immune_death_rate_per_h,Net_growth_rate_per_h,Intrinsic_doubling_time_h,Net_doubling_time_h,Growth_log10_per_day,Death_log10_per_day,Net_log10_per_day
Sensitive Blood,0.162,0.12,0.04200000000000001,4.278686299752748,16.503504299046313,1.688536945639843,1.250768107881365,0.4377688377584779
Resistant Blood,0.12960000000000002,0.12,0.009600000000000025,5.348357874690935,72.20283130832745,1.3508295565118744,1.250768107881365,0.10006144863050948
Sensitive Reservoir,0.07,0.012,0.05800000000000001,9.902102579427789,11.950813457930089,0.7296147295974631,0.12507681078813654,0.6045379188093266
Resistant Reservoir,0.05600000000000001,0.012,0.04400000000000001,12.377628224284736,15.753345012726026,0.5836917836779706,0.12507681078813654,0.458614972889834
