Species,Growth_rate_per_h,Immune_death_rate_per_h,Net_growth_rate_per_h,Intrinsic_doubling_time_h,Net_doubling_time_h,Growth_log10_per_day,Death_log10_per_day,Net_log10_per_day
Sensitive Blood,0.18,0.12,0.06,3.850817669777474,11.552453009332423,1.8761521618220478,1.250768107881365,0.6253840539406825
Resistant Blood,0.144,0.12,0.023999999999999994,4.813522087221843,28.88113252333106,1.500921729457638,1.250768107881365,0.25015362157627297
Sensitive Reservoir,0.09,0.012,0.078,7.701635339554948,8.886502314871093,0.9380760809110239,0.12507681078813654,0.8129992701228873
Resistant Reservoir,0.072,0.012,0.06,9.627044174443686,11.552453009332423,0.750460864728819,0.12507681078813654,0.6253840539406825
