Species,Growth_rate_per_h,Immune_death_rate_per_h,Net_growth_rate_per_h,Intrinsic_doubling_time_h,Net_doubling_time_h,Growth_log10_per_day,Death_log10_per_day
Sensitive Blood,1.0,0.12,0.88,0.6931471805599453,0.7876672506363015,10.423067565678043,1.250768107881365
Resistant Blood,0.8,0.12,0.68,0.8664339756999315,1.019334089058743,8.338454052542435,1.250768107881365
Sensitive Reservoir,0.09,0.012,0.078,7.701635339554948,8.886502314871093,0.9380760809110239,0.12507681078813654
Resistant Reservoir,0.072,0.012,0.06,9.627044174443686,11.552453009332423,0.750460864728819,0.12507681078813654
